system:index,area_ha,fire_class,fire_date_str,fire_year,ndvi_post1,ndvi_post2,ndvi_post3,ndvi_pre,sensor,.geo
0000000000000000025b,160.41,대형,2017-03-09,2017,0.5068941151154749,0.4454641747839445,0.45526334178650135,0.47658261159682114,Sentinel-2,"{""type"":""Point"",""coordinates"":[128.99307593362977,37.597985175482805]}"
000000000000000002fa,765.12,대형,2017-05-06,2017,0.47369788635910126,0.3546053894464346,0.38021855950846434,0.581627947572799,Sentinel-2,"{""type"":""Point"",""coordinates"":[129.01418531801679,37.25417064785791]}"
000000000000000002fe,252.0,대형,2017-05-06,2017,0.5955090766178831,0.49147421129900953,0.4884482950843034,0.568691574537671,Sentinel-2,"{""type"":""Point"",""coordinates"":[128.80429989053215,37.72251449060238]}"
0000000000000000034b,161.14,대형,2018-02-11,2018,0.5110085141196152,0.49708182089798564,0.556750844426342,0.7420567167927095,Sentinel-2,"{""type"":""Point"",""coordinates"":[129.1937310219338,37.27477615382588]}"
00000000000000000368,356.85,대형,2018-03-28,2018,0.5993734664926138,0.5684741721315133,0.579969423402172,0.6167806987367076,Sentinel-2,"{""type"":""Point"",""coordinates"":[128.46800786638443,38.35745480780465]}"
00000000000000000426,345.0,대형,2019-04-04,2019,0.4948982480937885,0.5362327255737722,0.49455188502442293,0.41563345637234744,Sentinel-2,"{""type"":""Point"",""coordinates"":[128.1349709860057,37.986622586896935]}"
00000000000000000539,123.2,대형,2020-05-01,2020,0.2981842116763617,0.27248757100824483,0.28688874298002887,0.4051292454068799,Sentinel-2,"{""type"":""Point"",""coordinates"":[128.47597627996691,38.26969523997178]}"
00000000000000000427,1227.0,메가파이어,2019-04-04,2019,0.30072440215728996,0.2749906317863935,0.3107258143809624,0.3070359227489337,Sentinel-2,"{""type"":""Point"",""coordinates"":[128.50278885460128,38.20570713985484]}"
00000000000000000429,1260.0,메가파이어,2019-04-04,2019,0.4769236203540179,0.5076179428808514,0.5040748786824072,0.5018824388989832,Sentinel-2,"{""type"":""Point"",""coordinates"":[129.01081423762037,37.569219514587026]}"
00000000000000000195,4.0,소규모,2011-04-13,2011,-1.0,0.26759316271135697,0.21281778180682295,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.6254676427837,38.03518665647001]}"
00000000000000000284,3.5,소규모,2011-01-31,2011,-1.0,0.1557381788405341,0.1826582302004891,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.59936406521683,38.11211506784406]}"
00000000000000000022,0.01,소규모,2011-03-16,2011,-1.0,0.12510234181717647,0.13008735868713492,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.64014900120587,37.01726306798938]}"
000000000000000001ce,0.01,소규모,2011-04-17,2011,-1.0,0.14060077062937207,0.14790625330843069,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.65279947089451,37.0420601289476]}"
0000000000000000024a,0.01,소규모,2011-06-20,2011,-1.0,0.15381988355467174,0.12486966804539075,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.42950552654214,37.39357552409178]}"
00000000000000000153,0.03,소규모,2011-04-09,2011,-1.0,0.18780599335954332,0.16871284373340062,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.03742369136052,38.07468537360144]}"
0000000000000000014c,0.04,소규모,2011-04-09,2011,-1.0,0.2143563261169459,0.12255081642482307,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.03440487994735,38.19257062815139]}"
0000000000000000033e,0.07,소규모,2011-02-01,2011,-1.0,0.1554931291473693,0.15252091123241882,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.20529100961855,37.03020783834754]}"
00000000000000000001,0.1,소규모,2011-03-14,2011,-1.0,0.11844903714952251,0.15298386455821655,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[128.5200277392739,37.150817603641144]}"
00000000000000000130,0.1,소규모,2011-04-05,2011,-1.0,0.21066897038192692,0.14908333260155318,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.52091263903671,37.72793229838232]}"
00000000000000000131,0.1,소규모,2011-04-16,2011,-1.0,0.21774956308179635,0.13309482678912427,-1.0,Landsat-8,"{""type"":""Point"",""coordinates"":[127.6656996502421,37.81886228706419]}"
